temp,light,sound,pressure,humidity
240,144,442,0,575
238,136,430,0,574
236,140,466,0,572
237,133,433,0,568
239,140,448,0,567
236,141,436,0,570
239,142,448,0,564
239,136,493,0,564
237,136,463,0,566
236,141,425,0,561
235,144,400,0,563
236,145,396,0,564
238,133,511,0,559
238,128,451,0,561
239,129,466,0,559
235,143,367,0,559
237,131,422,0,556
234,145,442,0,556
234,145,470,0,556
236,129,428,0,553
234,130,469,0,557
236,134,393,0,548
234,134,522,0,546
233,143,398,0,553
233,131,440,0,552
233,134,473,0,551
235,137,426,0,550
235,129,428,0,553
236,145,407,0,555
235,136,450,0,556
235,140,404,0,549
231,140,423,0,551
233,140,412,0,552
234,135,446,0,550
231,129,403,0,553
231,141,399,0,553
231,135,392,0,552
231,135,442,0,554
234,144,437,0,547
231,133,417,0,548
233,137,422,0,546
232,134,409,0,550
230,135,421,0,550
233,131,401,0,549
230,137,429,0,546
233,144,457,0,554
231,135,483,0,549
235,134,446,0,550
233,146,424,0,554
