temp,light,sound,pressure,humidity
231,183,408,0,567
234,169,427,0,565
230,174,415,0,565
232,170,535,0,562
235,171,445,0,560
230,165,419,0,562
234,166,409,0,565
233,180,410,0,557
234,185,366,0,559
230,166,477,0,559
233,167,437,0,555
230,165,409,0,556
233,168,417,0,557
232,179,443,0,555
230,171,461,0,558
231,169,397,0,556
233,167,452,0,554
229,165,426,0,554
233,169,419,0,552
230,172,414,0,556
229,168,443,0,552
231,178,381,0,551
232,168,413,0,551
233,171,415,0,550
232,169,394,0,551
233,184,411,0,550
230,176,400,0,552
231,181,429,0,552
230,170,436,0,557
232,180,408,0,552
231,183,403,0,547
230,186,408,0,551
232,182,377,0,550
230,186,442,0,549
231,171,388,0,554
230,166,408,0,549
230,183,422,0,549
230,171,377,0,552
232,186,437,0,544
228,166,444,0,544
228,181,454,0,547
230,178,385,0,548
231,183,406,0,546
230,186,402,0,548
230,174,416,0,547
229,182,416,0,553
232,185,482,0,544
228,166,524,0,544
