temp,light,sound,pressure,humidity
231,162,427,0,539
233,160,395,0,537
230,159,427,0,533
232,168,510,0,531
230,175,425,0,530
232,164,405,0,530
232,171,426,0,531
230,159,505,0,528
232,161,394,0,532
230,174,371,0,527
231,165,408,0,528
233,170,388,0,528
228,170,439,0,530
232,165,472,0,525
232,161,439,0,527
231,160,403,0,528
231,166,433,0,524
228,161,433,0,525
232,171,418,0,521
230,168,449,0,523
231,159,424,0,524
230,160,409,0,519
228,175,398,0,519
228,174,390,0,523
227,169,372,0,522
228,171,390,0,522
231,172,444,0,520
227,169,402,0,521
228,170,447,0,524
230,169,425,0,524
227,160,395,0,519
227,171,383,0,525
227,160,403,0,523
226,169,396,0,518
227,161,435,0,521
229,160,374,0,522
229,172,387,0,519
230,175,399,0,522
229,161,444,0,519
231,170,379,0,517
227,169,409,0,518
226,173,457,0,513
230,162,399,0,517
230,164,407,0,519
230,163,405,0,517
227,174,455,0,520
229,162,421,0,512
228,160,429,0,514
