temp,light,sound,pressure,humidity
264,155,474,0,637
264,139,484,0,639
264,145,480,0,638
264,155,457,0,636
263,155,478,0,639
264,143,461,0,640
264,150,582,0,634
264,155,465,0,643
264,154,481,0,633
263,153,455,0,635
263,139,575,0,632
264,154,478,0,632
264,141,490,0,635
264,140,423,0,629
263,145,468,0,630
263,140,502,0,625
264,154,517,0,630
263,154,484,0,625
263,139,521,0,629
263,150,464,0,627
262,140,548,0,626
263,151,479,0,624
263,144,462,0,630
263,139,577,0,626
263,140,461,0,626
263,152,447,0,623
263,139,457,0,625
263,150,501,0,626
263,152,480,0,624
263,149,477,0,623
262,151,451,0,626
262,154,550,0,627
262,151,524,0,622
263,151,453,0,626
262,152,457,0,622
262,142,482,0,620
261,140,471,0,620
261,153,455,0,623
262,145,490,0,615
262,141,453,0,619
261,142,440,0,619
262,154,482,0,616
261,151,494,0,621
261,148,456,0,618
261,148,517,0,624
262,153,545,0,616
262,155,517,0,618
