temp,light,sound,pressure,humidity
236,122,412,0,565
235,114,409,0,565
235,127,528,0,562
233,115,427,0,562
233,126,410,0,564
235,113,422,0,559
234,116,453,0,559
235,117,397,0,561
233,120,455,0,556
233,127,446,0,554
234,121,461,0,554
235,118,515,0,556
233,123,446,0,553
234,121,405,0,552
235,124,421,0,552
233,120,492,0,551
234,124,400,0,552
235,123,416,0,550
235,119,418,0,550
232,126,420,0,547
233,114,506,0,550
232,125,393,0,549
232,120,437,0,548
232,115,388,0,549
233,114,441,0,544
233,125,404,0,543
234,123,365,0,545
234,126,456,0,547
234,126,396,0,546
234,113,410,0,545
234,115,392,0,548
234,121,432,0,547
235,124,377,0,547
233,125,445,0,549
233,120,402,0,542
233,123,451,0,542
233,116,412,0,545
232,116,387,0,545
231,115,395,0,541
232,114,390,0,542
234,114,401,0,541
233,117,401,0,540
232,120,420,0,542
232,115,398,0,541
232,126,434,0,544
233,127,469,0,543
234,113,451,0,541
