  File "linux.py", line 55
    print(pad(str(s), 10), end=': ')
                              ^
SyntaxError: invalid syntax
  File "/home/pi/Documents/Git/IoT/linux.py", line 56
    print(pad(str(s), 10), end=': ')
                              ^
SyntaxError: invalid syntax
       Name       Temp      Light      Sound   Pressure   Humidity
     Atlas:      30.75        232        337     100.38        499 
      Maia: 
     Atlas:      30.75        232        337     100.38        499 
      Maia:      29.50        186        364     100.37        540 
     Atlas:      31.25        231        343     100.37        499 
      Maia:      29.50        186        364     100.37        540 
     Atlas:      31.25        231        343     100.37        499 
      Maia:      29.50        191        343     100.38        538 
     Atlas:      31.25        231        348     100.37        494 
      Maia:      29.50        191        343     100.38        538 
     Atlas:      31.25        231        348     100.37        494 
      Maia:      29.56        187        347     100.39        537 
     Atlas:      31.25        231        355     100.36        494 
      Maia:      29.56        187        347     100.39        537 
     Atlas:      31.25        231        355     100.36        494 
      Maia:      29.56        191        344     100.38        538 
     Atlas:      31.25        231        369     100.37        496 
      Maia:      29.56        191        344     100.38        538 
     Atlas:      31.25        231        369     100.37        496 
      Maia:      29.63        185        367     100.39        539 
     Atlas:      31.31        240        347     100.37        496 
      Maia:      29.63        185        367     100.39        539 
     Atlas:      31.31        240        347     100.37        496 
      Maia:      29.63        201        340     100.39        534 
     Atlas:      31.31        242        358     100.36        493 
      Maia:      29.63        201        340     100.39        534 
     Atlas:      31.31        242        358     100.36        493 
      Maia:      29.63        206        352     100.39        536 
     Atlas:      31.31        229        353     100.37        494 
      Maia:      29.63        206        352     100.39        536 
     Atlas:      31.31        229        353     100.37        494 
      Maia:      29.63        187        346     100.38        538 
     Atlas:      31.31        235        349     100.37        494 
      Maia:      29.63        187        346     100.38        538 
     Atlas:      31.31        235        349     100.37        494 
      Maia:      29.63        196        360     100.39        535 
     Atlas:      31.31        236        340     100.36        494 
      Maia:      29.63        196        360     100.39        535 
     Atlas:      31.31        236        340     100.36        494 
      Maia:      29.63        197        341     100.39        532 
     Atlas:      31.31        237        343     100.37        492 
      Maia:      29.63        197        341     100.39        532 
     Atlas:      31.31        237        343     100.37        492 
      Maia:      29.56        186        355     100.38        533 
     Atlas:      31.19        224        366     100.37        489 
      Maia:      29.56        186        355     100.38        533 
     Atlas:      31.19        224        366     100.37        489 
      Maia:      29.56        174        367     100.38        533 
     Atlas:      31.19        229        344     100.37        493 
      Maia:      29.56        174        367     100.38        533 
     Atlas:      31.19        229        344     100.37        493 
      Maia:      29.56        176        357     100.39        533 
     Atlas:      31.19        225        341     100.37        490 
      Maia:      29.56        176        357     100.39        533 
     Atlas:      31.19        225        341     100.37        490 
      Maia:      29.63        174        349     100.39        533 
     Atlas:      31.19        224        349     100.37        493 
      Maia:      29.63        174        349     100.39        533 
     Atlas:      31.19        224        349     100.37        493 
      Maia:      29.63        178        346     100.39        533 
     Atlas:      31.19        232        342     100.37        491 
      Maia:      29.63        178        346     100.39        533 
     Atlas:      31.19        232        342     100.37        491 
      Maia:      29.56        191        343     100.38        535 
     Atlas:      31.19        230        351     100.36        492 
      Maia:      29.56        191        343     100.38        535 
     Atlas:      31.19        230        351     100.36        492 
      Maia:      29.56        195        352     100.38        533 
     Atlas:      31.19        239        345     100.36        492 
      Maia:      29.56        195        352     100.38        533 
     Atlas:      31.19        239        345     100.36        492 
      Maia:      29.56        203        364     100.38        532 
     Atlas:      31.25        243        365     100.37        493 
      Maia:      29.56        203        364     100.38        532 
     Atlas:      31.25        243        365     100.37        493 
      Maia:      29.56        206        346     100.39        531 
     Atlas:      31.19        245        363     100.37        492 
      Maia:      29.56        206        346     100.39        531 
     Atlas:      31.19        245        363     100.37        492 
      Maia:      29.56        171        345     100.39        538 
     Atlas:      31.19        227        339     100.36        496 
      Maia:      29.56        171        345     100.39        538 
     Atlas:      31.19        227        339     100.36        496 
      Maia:      29.56        185        350     100.39        539 
     Atlas:      31.19        246        346     100.37        494 
      Maia:      29.56        185        350     100.39        539 
     Atlas:      31.19        246        346     100.37        494 
      Maia:      29.56        208        339     100.38        538 
     Atlas:      31.19        246        337     100.37        499 
      Maia:      29.56        208        339     100.38        538 
     Atlas:      31.19        246        337     100.37        499 
      Maia:      29.69        208        341     100.40        538 
     Atlas:      31.19        245        379     100.37        497 
      Maia:      29.69        208        341     100.40        538 
     Atlas:      31.19        245        379     100.37        497 
      Maia:      29.63        209        338     100.38        539 
     Atlas:      31.13        245        339     100.37        496 
      Maia:      29.63        209        338     100.38        539 
     Atlas:      31.13        245        339     100.37        496 
      Maia:      29.63        182        358     100.38        537 
     Atlas:      31.19        221        370     100.37        497 
      Maia:      29.63        182        358     100.38        537 
     Atlas:      31.19        221        370     100.37        497 
      Maia:      29.63        165        368     100.38        544 
     Atlas:      31.19        214        357     100.37        495 
      Maia:      29.63        165        368     100.38        544 
     Atlas:      31.19        214        357     100.37        495 
      Maia:      29.63        194        351     100.39        536 
     Atlas:      31.13        228        361     100.36        499 
      Maia:      29.63        194        351     100.39        536 
     Atlas:      31.13        228        361     100.36        499 
      Maia:      29.63        164        376     100.38        535 
     Atlas:      31.13        220        373     100.36        498 
      Maia:      29.63        164        376     100.38        535 
     Atlas:      31.13        220        373     100.36        498 
      Maia:      29.56        174        344     100.38        538 
     Atlas:      31.13        228        507     100.37        498 
      Maia:      29.56        174        344     100.38        538 
     Atlas:      31.13        228        507     100.37        498 
      Maia:      29.63        205        341     100.40        534 
     Atlas:      31.13        204        349     100.37        488 
      Maia:      29.63        205        341     100.40        534 
     Atlas:      31.13        204        349     100.37        488 
      Maia:      29.56        181        340     100.38        533 
     Atlas:      31.13        202        341     100.37        495 
      Maia:      29.56        181        340     100.38        533 
     Atlas:      31.13        202        341     100.37        495 
      Maia:      29.56        192        353     100.38        535 
     Atlas:      31.13        228        358     100.37        493 
      Maia:      29.56        192        353     100.38        535 
     Atlas:      31.13        228        358     100.37        493 
      Maia:      29.50        199        342     100.38        533 
     Atlas:      31.06        245        419     100.36        494 
      Maia:      29.50        199        342     100.38        533 
     Atlas:      31.06        245        419     100.36        494 
      Maia:      29.50        208        342     100.38        532 
     Atlas:      31.13        246        336     100.37        494 
      Maia:      29.50        208        342     100.38        532 
     Atlas:      31.13        246        336     100.37        494 
      Maia:      29.56        208        348     100.40        533 
     Atlas:      31.06        246        346     100.37        495 
      Maia:      29.56        208        348     100.40        533 
     Atlas:      31.06        246        346     100.37        495 
      Maia:      29.50        209        339     100.38        533 
     Atlas:      31.06        246        336     100.37        492 
