hextimestamp,temp,light,sound,pressure,humidity
0x56b28350,28.31,103,499,100.99,619
0x56b28357,28.31,102,481,100.97,619
0x56b2835e,28.31,103,447,100.98,619
0x56b28365,28.25,102,511,100.97,616
0x56b2836c,28.19,103,530,100.97,621
0x56b28373,28.13,102,493,100.99,618
0x56b2837a,28.00,103,519,100.97,618
0x56b28381,27.94,103,507,100.98,623
0x56b28388,27.88,103,509,100.98,621
0x56b2838f,27.75,103,502,100.96,625
0x56b28396,27.63,102,511,100.97,623
0x56b2839c,27.63,103,505,100.97,622
0x56b283a3,27.56,103,512,100.97,621
0x56b283aa,27.63,103,509,100.97,626
0x56b283b0,27.50,103,484,100.96,624
0x56b283b7,27.44,104,484,100.96,623
0x56b283bd,27.44,103,510,100.97,627
0x56b283c4,27.31,102,502,100.97,629
0x56b283ca,27.38,102,510,100.98,624
0x56b283d1,27.31,102,506,100.97,624
0x56b283d7,27.31,102,499,100.98,624
0x56b283de,27.31,103,510,100.97,627
0x56b283e5,27.19,102,465,100.97,628
0x56b283eb,27.13,102,505,100.97,629
0x56b283f2,27.13,102,471,100.98,626
0x56b283f9,27.13,103,508,100.98,629
0x56b283ff,27.06,102,476,100.97,630
0x56b28406,27.00,102,502,100.98,628
0x56b2840c,27.00,103,487,100.98,629
0x56b28413,27.00,103,440,100.97,627
0x56b28419,26.94,102,526,100.98,634
0x56b28420,26.94,103,426,100.98,631
0x56b28427,26.88,103,471,100.98,632
0x56b2842d,26.81,103,465,100.97,630
0x56b28545,26.88,133,389,100.97,6
0x56b2854b,27.50,133,368,100.95,622
0x56b28551,27.56,133,366,100.95,622
0x56b28558,27.63,132,377,100.95,618
0x56b2855e,27.69,132,359,100.96,619
0x56b28565,27.69,132,394,100.94,615
0x56b2856b,27.75,133,359,100.96,603
0x56b28572,27.75,132,392,100.95,613
0x56b28579,27.81,132,378,100.96,621
0x56b2857f,27.81,132,495,100.96,614
0x56b28586,27.81,132,374,100.94,616
0x56b2858c,27.94,133,366,100.96,615
0x56b28593,27.94,132,367,100.96,612
0x56b2859a,27.94,132,361,100.95,612
0x56b285a0,28.00,133,367,100.96,608
0x56b285a7,28.00,132,380,100.96,609
0x56b285ad,27.94,133,360,100.94,607
0x56b285b4,28.00,132,374,100.95,607
0x56b285bb,28.06,132,370,100.97,608
0x56b285c1,28.00,132,368,100.95,605
0x56b285c8,28.13,132,385,100.97,605
0x56b285ce,28.13,131,378,100.95,605
0x56b285d5,28.19,132,373,100.96,604
0x56b285dc,28.25,131,375,100.97,600
0x56b285e2,28.19,131,379,100.96,600
0x56b285e9,28.19,131,365,100.95,598
0x56b285ef,28.25,131,374,100.96,598
0x56b285f6,28.31,132,386,100.97,596
0x56b285fd,28.31,131,360,100.96,597
0x56b28604,28.31,132,363,100.96,594
0x56b2860a,28.38,131,436,100.97,596
0x56b28611,28.38,131,366,100.98,595
0x56b28617,28.38,132,425,100.97,594
0x56b2861e,28.44,131,369,100.97,594
0x56b28624,28.44,132,356,100.98,591
0x56b2862b,28.50,131,491,100.97,594
0x56b28631,28.50,130,481,100.96,587
0x56b28638,28.50,130,500,100.96,586
0x56b2863f,28.50,131,510,100.96,592
0x56b28645,28.50,130,444,100.99,597
0x56b2864c,28.50,130,507,100.98,591
0x56b28652,28.38,130,478,100.95,592
0x56b28659,28.44,130,447,100.96,591
0x56b28660,28.50,131,504,100.97,596
0x56b28666,28.44,132,400,100.96,587
0x56b2866d,28.44,132,384,100.95,593
0x56b28674,28.56,131,510,100.97,590
0x56b2867a,28.56,132,382,100.96,592
0x56b28681,28.56,131,439,100.95,585
0x56b28687,28.63,131,381,100.96,586
0x56b2868e,28.69,131,390,100.96,585
0x56b28694,28.69,132,412,100.96,585
0x56b2869b,28.75,132,390,100.97,585
0x56b286a2,28.75,132,509,100.96,583
0x56b286a8,28.75,132,439,100.97,618
0x56b286af,28.75,131,372,100.96,589
0x56b286b5,28.69,133,419,100.95,587
