temp,light,sound,pressure,humidity
221,175,476,0,563
221,180,441,0,564
223,165,385,0,557
220,170,394,0,563
222,183,401,0,561
221,168,417,0,559
223,186,403,0,561
222,186,406,0,559
222,166,411,0,562
220,173,392,0,566
224,183,464,0,560
221,184,378,0,558
223,184,395,0,555
219,183,398,0,558
218,187,387,0,560
220,168,387,0,563
218,177,398,0,562
220,168,397,0,564
221,186,448,0,565
220,171,410,0,563
220,182,457,0,563
221,181,407,0,562
219,180,406,0,563
221,186,400,0,564
219,172,368,0,561
217,174,361,0,568
218,166,409,0,568
221,169,395,0,568
219,186,433,0,565
221,167,393,0,565
219,168,418,0,562
219,163,400,0,560
221,169,472,0,566
219,71,524,0,561
219,183,434,0,56
218,167,384,0,569
