hextimestamp,temp,light,sound,pressure,humidity
0x56ac9c50,28.56,94,338,100.15,539
0x56ac9c52,28.56,87,373,100.15,539
0x56ac9c53,28.56,87,347,100.15,541
0x56ac9c55,28.56,86,361,100.16,541
0x56ac9c57,28.56,92,336,100.15,539
0x56ac9c58,28.63,92,351,100.15,542
0x56ac9cb3,28.56,93,433,100.15,541
0x56ac9cb4,28.44,93,353,100.14,536
0x56ac9cb6,28.50,87,508,100.14,540
0x56ac9cb8,28.50,86,390,100.14,542
0x56ac9cb9,28.63,86,417,100.16,541
0x56ac9cbb,28.50,86,492,100.14,539
0x56ac9cbd,28.56,91,511,100.15,541
0x56ac9cbe,28.38,86,441,100.11,540
0x56ac9cc0,28.50,86,362,100.13,539
0x56ac9cdf,28.38,90,556,100.12,536
0x56ac9ce0,28.56,85,359,100.14,537
0x56ac9ce2,28.63,91,356,100.14,539
0x56ac9ce4,28.63,43,370,100.14,536
0x56ac9ce5,28.63,86,364,100.14,538
0x56ac9ce7,28.63,88,350,100.14,538
0x56ac9ce9,28.44,89,348,100.09,538
0x56ac9cea,28.75,89,364,100.16,537
0x56ac9cec,28.63,93,375,100.14,534
0x56ac9cee,28.69,86,376,100.15,536
0x56ac9cef,28.75,91,359,100.15,535
0x56ac9cf1,28.69,89,359,100.14,539
0x56ac9cf3,28.94,93,352,100.18,536
0x56ac9cf4,28.63,92,359,100.12,539
0x56ac9cf6,28.56,87,350,100.12,537
0x56ac9cf8,28.69,85,342,100.14,538
0x56ac9cf9,28.56,93,347,100.12,536
0x56ac9cfb,28.56,87,349,100.12,540
0x56ac9cfc,28.50,88,345,100.11,538
0x56ac9cfe,28.75,85,338,100.15,540
0x56ac9d00,28.63,89,349,100.13,541
0x56ac9d01,28.56,89,349,100.12,541
0x56ac9d03,28.56,91,352,100.12,540
0x56ac9d05,28.63,86,359,100.14,538
0x56ac9d06,28.69,94,348,100.15,539
0x56ac9d08,28.69,85,346,100.14,538
0x56ac9d0a,28.69,87,351,100.15,542
0x56ac9d0b,28.69,90,352,100.15,544
0x56ac9d0d,28.63,90,378,100.13,541
0x56ac9d0f,28.56,88,485,100.13,546
0x56ac9d10,28.63,90,416,100.14,546
0x56ac9d12,28.56,86,515,100.13,546
0x56ac9d13,28.69,92,344,100.15,544
0x56ac9d15,28.63,84,345,100.15,546
0x56ac9d17,28.56,84,512,100.14,547
0x56ac9d18,28.56,91,501,100.14,545
0x56ac9d1a,28.56,92,388,100.14,544
0x56ac9d1c,28.44,86,510,100.12,541
0x56ac9d1d,28.56,86,509,100.14,544
0x56ac9d1f,28.50,92,429,100.14,539
0x56ac9d21,28.56,89,353,100.14,541
0x56ac9d22,28.50,85,370,100.14,538
0x56ac9d24,28.56,85,352,100.14,540
0x56ac9d25,28.50,86,535,100.14,543
0x56ac9d27,28.56,89,342,100.14,543
0x56ac9d29,28.50,86,356,100.13,539
0x56ac9d2a,28.56,89,344,100.14,544
0x56ac9d2c,28.56,92,346,100.14,539
0x56ac9d2e,28.56,92,355,100.14,543
0x56ac9d30,28.56,91,344,100.14,546
0x56ac9d31,28.56,93,344,100.14,543
0x56ac9d33,28.56,91,373,100.14,543
0x56ac9d35,28.69,93,345,100.16,543
0x56ac9d36,28.56,88,373,100.14,544
0x56ac9d38,28.63,93,348,100.14,542
0x56ac9d3a,28.63,87,343,100.14,544
0x56ac9d3b,28.56,86,351,100.14,543
0x56ac9d3d,28.50,86,345,100.12,542
0x56ac9d3f,28.63,85,349,100.15,541
0x56ac9d40,28.63,93,352,100.14,544
0x56ac9d42,28.63,92,369,100.14,542
0x56ac9d44,28.63,93,368,100.14,543
0x56ac9d45,28.63,86,352,100.14,538
0x56ac9d47,28.63,92,339,100.15,542
0x56ac9d48,28.63,93,359,100.15,541
0x56ac9d4a,28.63,91,377,100.14,541
0x56ac9d4c,28.56,88,348,100.13,546
0x56ac9d4d,28.56,87,347,100.13,544
0x56ac9d4f,28.63,93,339,100.14,545
0x56ac9d51,28.63,93,352,100.14,543
0x56ac9d52,28.69,91,356,100.15,547
0x56ac9d54,28.63,88,361,100.14,546
0x56ac9d56,28.69,88,362,100.15,546
0x56ac9d57,28.63,90,366,100.13,543
0x56ac9d59,28.69,85,360,100.14,548
0x56ac9d5a,28.63,86,348,100.13,547
0x56ac9d5c,28.63,85,356,100.13,546
0x56ac9d5e,28.69,87,347,100.14,542
0x56ac9d5f,28.69,50,355,100.14,544
0x56ac9d61,28.69,91,425,100.14,545
0x56ac9d63,28.63,84,412,100.13,544
0x56ac9d64,28.69,90,378,100.14,540
0x56ac9d66,28.63,92,352,100.13,542
0x56ac9d68,28.63,92,348,100.14,543
0x56ac9d69,28.69,91,372,100.14,545
0x56ac9d6b,28.63,82,357,100.13,545
0x56ac9d6d,28.69,87,366,100.15,546
0x56ac9d6e,28.69,91,423,100.15,541
0x56ac9d70,28.69,92,355,100.14,544
0x56ac9d72,28.63,91,371,100.14,542
0x56ac9d73,28.69,88,375,100.14,531
0x56ac9d75,28.69,91,364,100.14,542
0x56ac9d77,28.81,91,365,100.17,541
0x56ac9d78,28.69,93,353,100.14,544
0x56ac9d7a,28.75,90,362,100.14,543
0x56ac9d7b,28.75,93,388,100.14,541
0x56ac9d7d,28.75,93,345,100.14,541
0x56ac9d7f,28.81,92,381,100.15,541
0x56ac9d80,28.69,91,348,100.13,540
0x56ac9d82,28.81,89,353,100.14,537
0x56ac9d84,28.69,92,409,100.12,538
0x56ac9d85,28.75,92,354,100.14,538
0x56ac9d87,28.81,92,346,100.14,537
0x56ac9d89,28.75,87,371,100.14,541
0x56ac9d8a,28.75,89,372,100.13,539
0x56ac9d8c,28.63,91,436,100.12,537
0x56ac9d8d,28.75,92,347,100.15,542
0x56ac9d8f,28.69,86,351,100.13,542
0x56ac9d91,28.69,87,363,100.14,537
0x56ac9d92,28.69,84,341,100.13,542
0x56ac9d94,28.75,85,357,100.14,540
0x56ac9d96,28.69,85,346,100.13,542
0x56ac9d97,28.75,86,356,100.14,539
0x56ac9d99,28.69,85,386,100.13,540
0x56ac9d9b,28.69,90,342,100.15,541
0x56ac9d9c,28.63,92,358,100.13,542
0x56ac9d9e,28.38,92,346,100.09,542
0x56ac9da0,28.69,85,357,100.16,541
0x56ac9da1,28.63,88,365,100.14,540
0x56ac9da3,28.75,85,357,100.17,538
0x56ac9da5,28.56,89,344,100.14,540
0x56ac9da6,28.56,87,344,100.14,539
0x56ac9da8,28.63,86,346,100.15,539
0x56ac9daa,28.56,92,355,100.13,539
0x56ac9dab,28.63,84,343,100.14,543
0x56ac9dad,28.63,85,374,100.14,543
0x56ac9daf,28.56,92,369,100.12,539
0x56ac9db0,28.69,90,346,100.15,541
0x56ac9db2,28.69,92,342,100.14,543
0x56ac9db3,28.63,85,345,100.13,541
0x56ac9db5,28.69,85,344,100.15,540
0x56ac9db7,28.56,86,377,100.13,544
0x56ac9db8,28.63,92,350,100.14,542
0x56ac9dba,28.81,85,338,100.17,542
0x56ac9dbc,28.69,84,349,100.14,540
0x56ac9dbd,28.69,91,343,100.14,539
0x56ac9dbf,28.69,86,349,100.13,538
0x56ac9dc1,28.63,85,348,100.12,540
0x56ac9dc2,28.81,90,352,100.16,540
0x56ac9dc4,28.81,86,356,100.16,540
0x56ac9dc6,28.69,93,346,100.14,539
0x56ac9dc7,28.69,84,351,100.13,508
0x56ac9dc9,28.69,84,362,100.13,542
0x56ac9dcb,28.75,92,351,100.14,537
0x56ac9dcd,28.75,91,352,100.14,542
0x56ac9dce,28.69,85,353,100.13,542
0x56ac9dd0,28.69,87,370,100.13,537
0x56ac9dd2,28.75,92,356,100.14,536
0x56ac9dd3,28.69,86,353,100.13,541
0x56ac9dd5,28.75,92,375,100.14,540
0x56ac9dd6,28.75,89,346,100.14,539
0x56ac9dd8,28.81,84,359,100.14,541
0x56ac9dda,28.81,86,349,100.15,540
0x56ac9ddb,28.75,91,352,100.13,539
0x56ac9ddd,28.75,89,361,100.14,537
0x56ac9ddf,28.75,92,342,100.13,536
0x56ac9de0,28.75,92,348,100.14,540
0x56ac9de2,28.75,90,347,100.14,534
0x56ac9de4,28.69,89,355,100.13,536
0x56ac9de5,28.75,90,352,100.14,536
0x56ac9de7,28.69,85,345,100.13,539
0x56ac9de9,28.69,89,368,100.14,538
0x56ac9dea,28.63,90,344,100.13,537
0x56ac9dec,28.69,90,358,100.14,536
0x56ac9ded,28.69,89,363,100.14,538
0x56ac9def,28.63,93,363,100.14,539
0x56ac9df1,28.63,89,361,100.13,537
0x56ac9df2,28.69,88,344,100.15,536
0x56ac9df4,28.63,85,356,100.14,536
0x56ac9df6,28.63,90,357,100.14,539
0x56ac9df7,28.63,87,366,100.13,539
0x56ac9df9,28.56,85,356,100.13,538
0x56ac9dfb,28.63,88,364,100.14,540
0x56ac9dfc,28.63,85,342,100.14,539
0x56ac9dfe,28.63,92,336,100.14,537
0x56ac9e00,28.63,87,348,100.14,542
0x56ac9e01,28.63,91,334,100.14,539
0x56ac9e03,28.63,85,360,100.14,543
0x56ac9e04,28.69,88,369,100.14,540
0x56ac9e06,28.56,85,362,100.13,540
0x56ac9e08,28.63,88,356,100.14,530
0x56ac9e09,28.63,85,381,100.14,539
0x56ac9e0b,28.63,89,343,100.14,540
0x56ac9e0d,28.63,92,351,100.14,539
0x56ac9e0f,28.63,92,359,100.14,539
0x56ac9e11,28.63,89,338,100.13,541
0x56ac9e12,28.63,91,345,100.14,540
0x56ac9e14,28.63,88,354,100.14,537
0x56ac9e16,28.69,89,338,100.15,537
0x56ac9e17,28.69,88,349,100.14,539
0x56ac9e19,28.63,86,354,100.14,535
0x56ac9e1b,28.63,93,372,100.13,538
0x56ac9e1c,28.69,87,363,100.14,537
0x56ac9e1e,28.69,88,364,100.14,539
0x56ac9e20,28.69,87,361,100.14,540
0x56ac9e21,28.69,89,461,100.14,537
0x56ac9e23,28.69,87,437,100.15,536
0x56ac9e25,28.69,92,353,100.13,534
0x56ac9e26,28.75,89,365,100.16,537
0x56ac9e28,28.69,86,349,100.14,535
0x56ac9e29,28.63,91,341,100.13,537
0x56ac9e2b,28.63,88,343,100.13,539
0x56ac9e2d,28.63,91,349,100.13,534
0x56ac9e2e,28.63,88,349,100.13,540
0x56ac9e30,28.63,85,353,100.13,539
0x56ac9e32,28.69,92,343,100.14,536
0x56ac9e33,28.69,89,350,100.14,536
0x56ac9e35,28.63,92,346,100.13,537
