temp,light,sound,pressure,humidity
218,144,407,0,608
221,143,368,0,605
221,143,365,0,603
220,139,499,0,597
223,141,365,0,600
224,141,361,0,606
224,141,356,0,607
225,141,364,0,607
225,141,361,0,610
226,137,371,0,608
225,133,368,0,607
223,128,482,0,604
227,135,367,0,593
225,136,533,0,592
225,132,359,0,588
225,130,355,0,591
227,136,363,0,585
225,134,356,0,581
227,131,359,0,584
226,131,362,0,579
227,123,388,0,578
229,133,363,0,580
228,135,378,0,593
227,133,387,0,588
226,135,386,0,589
225,134,401,0,592
225,132,365,0,585
225,128,382,0,580
225,137,360,0,590
227,143,369,0,592
225,144,368,0,574
228,143,358,0,575
225,144,356,0,577
229,143,365,0,596
229,143,361,0,590
228,143,359,0,591
