temp,light,sound,pressure,humidity
218,45,378,0,595
216,44,351,0,595
219,45,352,0,593
219,43,355,0,598
218,44,353,0,596
218,43,352,0,596
219,44,390,0,594
217,42,356,0,594
219,43,350,0,597
217,44,351,0,594
216,43,369,0,590
219,43,355,0,598
216,44,355,0,592
219,42,354,0,596
216,43,357,0,597
219,45,356,0,595
219,44,355,0,596
216,43,366,0,599
216,42,380,0,598
219,42,357,0,595
218,43,358,0,597
216,44,352,0,601
219,43,359,0,599
217,42,356,0,599
219,42,361,0,600
217,42,364,0,596
215,44,354,0,595
216,42,357,0,595
215,42,361,0,597
216,42,353,0,597
219,43,353,0,599
219,42,353,0,597
219,43,352,0,600
218,43,356,0,598
219,44,368,0,596
217,42,415,0,596
215,44,356,0,598
216,42,363,0,599
216,43,358,0,593
216,39,386,0,598
215,42,359,0,596
218,43,386,0,600
218,42,359,0,598
219,43,353,0,596
218,41,357,0,599
218,44,354,0,598
216,44,371,0,600
218,43,355,0,595
216,42,350,0,594
218,43,352,0,601
215,43,356,0,599
215,42,413,0,596
215,42,361,0,598
216,0,354,0,597
217,0,352,0,595
218,0,361,0,602
216,0,355,0,602
217,0,358,0,598
216,0,356,0,599
216,0,351,0,600
220,0,357,0,599
217,0,369,0,647
218,0,356,0,595
218,0,353,0,596
221,0,354,0,595
221,0,352,0,591
222,0,350,0,591
220,0,354,0,589
220,0,353,0,588
221,0,354,0,586
223,0,356,0,586
224,0,356,0,585
221,0,353,0,586
221,0,374,0,586
221,0,363,0,584
223,0,382,0,602
225,0,353,0,603
225,0,361,0,602
224,0,352,0,597
222,0,350,0,587
223,0,354,0,585
225,0,362,0,580
222,0,354,0,580
222,0,356,0,582
223,0,357,0,586
225,0,367,0,605
226,0,351,0,601
224,0,374,0,593
223,0,353,0,592
223,0,356,0,590
226,0,350,0,595
227,0,359,0,601
223,0,352,0,591
225,0,352,0,599
227,0,360,0,595
225,0,377,0,591
226,0,349,0,586
224,0,358,0,587
226,0,353,0,584
224,0,353,0,586
225,0,367,0,584
224,0,378,0,578
226,0,355,0,578
226,0,364,0,576
227,0,349,0,586
227,0,354,0,577
227,0,353,0,577
226,0,350,0,571
226,0,353,0,570
226,0,355,0,575
227,0,353,0,571
225,0,353,0,568
225,0,352,0,568
228,0,352,0,573
225,0,355,0,567
227,0,355,0,571
226,0,356,0,570
225,0,358,0,566
225,0,364,0,563
225,0,355,0,567
229,0,350,0,566
228,0,350,0,567
229,0,381,0,568
227,0,354,0,566
228,0,352,0,565
226,0,352,0,563
226,0,354,0,565
227,0,374,0,566
226,0,354,0,568
229,0,356,0,571
225,0,358,0,570
225,0,376,0,587
229,0,375,0,591
229,0,358,0,585
228,0,350,0,583
228,0,352,0,585
226,0,350,0,580
229,0,354,0,587
228,0,357,0,581
226,0,353,0,576
225,0,354,0,584
227,0,382,0,583
226,0,361,0,588
227,0,356,0,589
226,0,356,0,586
228,0,355,0,589
239,381,357,0,575
237,381,356,0,574
237,381,351,0,577
240,381,359,0,582
237,380,353,0,581
237,380,397,0,579
233,341,359,0,586
233,340,355,0,586
235,341,356,0,589
236,340,358,0,583
237,339,361,0,585
235,338,356,0,586
235,327,358,0,589
235,328,378,0,589
234,324,377,0,590
234,327,355,0,592
232,328,357,0,590
233,333,356,0,589
234,334,350,0,586
235,332,352,0,587
236,326,354,0,587
235,328,351,0,587
236,331,352,0,588
233,331,359,0,592
235,326,359,0,588
236,322,357,0,589
233,322,353,0,590
234,321,357,0,591
232,322,359,0,591
233,319,355,0,589
235,320,355,0,587
232,321,357,0,587
235,321,354,0,589
233,319,360,0,587
232,308,356,0,592
232,292,355,0,591
232,301,366,0,592
233,305,356,0,592
232,310,359,0,590
234,299,508,0,592
233,304,355,0,595
232,304,358,0,596
232,303,359,0,598
232,302,359,0,591
234,288,363,0,589
233,281,360,0,590
233,288,354,0,592
233,296,359,0,591
231,290,354,0,594
232,294,354,0,591
232,292,352,0,593
236,279,362,0,593
239,271,359,0,584
239,303,364,0,575
237,311,361,0,576
239,297,353,0,573
236,289,355,0,574
237,287,359,0,572
237,281,355,0,568
237,276,354,0,574
235,280,355,0,573
237,278,368,0,574
234,268,355,0,574
232,255,352,0,570
235,256,354,0,574
232,261,356,0,579
235,260,355,0,578
236,265,357,0,580
234,251,357,0,577
233,245,414,0,579
236,262,355,0,579
236,281,433,0,585
236,278,391,0,583
237,279,355,0,583
238,273,358,0,582
238,279,408,0,584
235,285,369,0,585
238,288,360,0,582
236,287,363,0,584
235,286,354,0,580
239,285,359,0,582
236,287,361,0,581
236,297,380,0,578
239,299,359,0,578
238,304,381,0,577
239,306,373,0,575
239,306,434,0,574
239,307,371,0,579
238,307,381,0,577
238,306,390,0,575
240,307,378,0,572
239,306,371,0,572
240,306,385,0,573
239,307,360,0,572
237,306,370,0,574
238,307,384,0,570
237,307,362,0,569
239,307,379,0,565
238,306,363,0,567
235,304,366,0,564
235,302,363,0,560
236,299,365,0,566
235,305,358,0,570
233,305,365,0,568
235,304,366,0,566
235,304,362,0,563
236,301,360,0,565
232,296,358,0,566
234,300,359,0,566
233,300,362,0,596
235,300,357,0,571
236,298,356,0,575
235,297,364,0,575
235,300,359,0,575
233,301,369,0,574
234,295,359,0,575
233,297,356,0,577
233,295,365,0,568
231,296,382,0,574
232,295,363,0,577
231,296,357,0,576
234,295,370,0,581
233,295,360,0,576
232,292,357,0,574
232,295,357,0,574
232,289,361,0,578
236,285,359,0,571
236,286,360,0,575
233,288,359,0,575
233,287,360,0,564
236,284,356,0,571
234,272,356,0,571
236,256,359,0,577
236,249,385,0,580
236,258,382,0,579
232,250,359,0,576
233,241,374,0,574
233,242,353,0,576
235,240,374,0,581
236,241,359,0,576
236,251,358,0,579
236,248,356,0,580
236,259,353,0,582
236,268,355,0,570
236,277,357,0,567
236,280,357,0,571
233,286,350,0,570
233,287,358,0,579
235,284,358,0,579
237,282,369,0,580
237,279,358,0,577
238,268,374,0,575
238,265,354,0,576
235,264,353,0,576
234,265,354,0,570
237,265,353,0,568
235,274,357,0,569
237,285,351,0,564
236,285,358,0,570
236,284,355,0,566
235,281,355,0,568
235,285,369,0,568
233,289,352,0,571
233,287,369,0,557
235,286,355,0,568
234,295,358,0,568
236,294,360,0,576
233,295,353,0,567
236,296,354,0,567
234,297,369,0,566
235,297,362,0,596
235,297,358,0,566
235,297,360,0,566
231,297,361,0,572
235,296,360,0,568
233,296,360,0,570
234,296,353,0,571
234,296,355,0,573
234,295,355,0,571
232,296,368,0,574
234,295,359,0,573
233,295,350,0,574
234,295,379,0,576
234,295,364,0,575
233,294,356,0,574
235,294,355,0,574
233,294,392,0,576
233,294,358,0,576
234,293,354,0,581
236,293,368,0,575
236,294,354,0,576
233,294,361,0,580
234,293,361,0,578
237,293,400,0,573
237,291,398,0,575
237,292,371,0,574
237,291,406,0,574
236,290,370,0,573
237,290,392,0,573
237,290,380,0,566
237,289,355,0,566
236,282,394,0,563
233,283,445,0,566
237,285,369,0,569
235,286,389,0,566
234,286,385,0,566
236,287,368,0,567
234,295,370,0,567
233,286,368,0,564
234,261,543,0,563
233,287,367,0,565
232,287,364,0,567
235,286,384,0,567
233,286,357,0,564
235,286,393,0,569
234,285,360,0,570
234,285,354,0,570
234,285,379,0,571
235,285,383,0,570
235,285,423,0,573
235,285,364,0,574
232,286,362,0,576
235,285,390,0,566
233,285,361,0,566
233,284,356,0,567
234,284,363,0,568
232,283,370,0,568
236,281,353,0,569
234,281,354,0,568
232,278,390,0,574
233,277,431,0,575
233,274,361,0,571
237,272,355,0,575
235,269,361,0,573
234,253,351,0,573
237,261,357,0,571
236,256,413,0,566
233,257,363,0,569
234,257,353,0,571
233,268,353,0,569
233,268,357,0,575
236,274,371,0,568
236,275,353,0,569
234,272,360,0,572
235,272,354,0,569
232,274,366,0,566
232,275,361,0,568
233,277,372,0,568
233,276,354,0,570
232,276,368,0,570
233,277,354,0,570
235,275,357,0,567
235,274,363,0,565
232,275,356,0,567
234,273,378,0,569
234,269,360,0,571
234,271,360,0,570
231,270,356,0,568
232,271,356,0,574
234,272,366,0,574
233,272,365,0,573
234,269,355,0,571
231,269,370,0,578
235,270,359,0,575
233,271,378,0,578
231,269,356,0,572
232,270,355,0,570
234,269,359,0,569
232,267,354,0,575
231,266,356,0,573
