temp,light,sound,pressure,humidity
216,165,401,0,568
219,183,397,0,570
219,168,398,0,571
216,163,413,0,573
220,176,421,0,577
217,169,388,0,578
219,164,390,0,576
216,164,378,0,577
216,170,362,0,584
216,182,389,0,577
217,164,423,0,581
215,184,412,0,581
219,243,371,0,576
217,242,383,0,576
219,270,381,0,573
219,243,357,0,574
221,243,406,0,570
221,252,381,0,570
221,271,362,0,574
221,244,448,0,575
218,251,382,0,574
219,249,385,0,574
220,270,369,0,572
219,267,386,0,574
219,242,381,0,575
218,243,397,0,573
219,247,373,0,573
217,271,367,0,575
221,242,387,0,574
218,256,376,0,573
222,262,425,0,574
218,259,431,0,572
217,245,393,0,576
219,255,412,0,572
218,253,367,0,575
218,259,379,0,576
221,246,397,0,571
221,252,376,0,574
220,252,402,0,577
219,264,517,0,573
220,247,535,0,575
218,256,384,0,573
218,249,428,0,571
219,255,538,0,571
219,253,575,0,571
218,263,410,0,572
217,260,376,0,570
217,265,384,0,570
220,249,408,0,570
216,272,426,0,571
217,261,380,0,575
217,274,400,0,573
218,270,390,0,573
219,272,379,0,577
220,262,388,0,573
218,272,381,0,575
218,246,370,0,575
218,259,492,0,575
219,257,385,0,573
218,262,389,0,576
220,276,502,0,575
222,259,413,0,574
220,273,524,0,573
219,251,390,0,572
221,244,385,0,569
220,246,404,0,574
223,257,366,0,570
221,265,365,0,570
221,247,369,0,569
223,256,367,0,566
224,268,378,0,565
225,243,382,0,566
227,247,382,0,563
226,249,361,0,563
227,246,384,0,560
225,267,401,0,555
227,244,367,0,556
224,247,371,0,559
228,273,379,0,554
224,272,379,0,554
228,253,371,0,547
229,252,409,0,550
228,272,428,0,545
225,244,420,0,543
226,243,424,0,543
227,246,378,0,541
229,271,362,0,538
227,273,402,0,538
228,250,398,0,534
226,261,394,0,539
230,270,526,0,533
230,254,452,0,533
227,250,353,0,534
227,246,402,0,530
227,243,384,0,532
228,251,406,0,533
231,273,403,0,529
228,255,389,0,531
231,251,369,0,530
228,247,378,0,532
228,259,378,0,534
228,257,512,0,532
232,249,384,0,535
228,256,421,0,532
232,250,368,0,533
231,273,383,0,534
231,246,387,0,537
232,272,379,0,536
230,244,370,0,534
232,255,386,0,530
231,254,370,0,536
232,270,402,0,531
231,257,411,0,531
230,265,483,0,535
229,243,347,0,531
232,262,395,0,530
233,259,446,0,533
233,252,359,0,538
230,248,395,0,538
229,260,387,0,541
229,272,371,0,540
229,268,392,0,541
229,244,403,0,535
232,268,431,0,525
231,274,393,0,532
231,258,406,0,540
231,269,392,0,543
232,255,405,0,543
232,262,441,0,541
231,244,380,0,537
232,249,377,0,537
231,274,390,0,535
229,271,384,0,535
231,265,389,0,538
229,247,388,0,537
229,261,394,0,540
229,244,395,0,549
230,249,455,0,538
232,242,379,0,538
232,265,375,0,544
232,260,389,0,537
228,248,363,0,541
227,270,384,0,542
228,251,416,0,549
227,248,348,0,613
229,248,393,0,610
226,248,346,0,607
230,250,405,0,612
227,249,384,0,617
231,250,413,0,611
231,242,345,0,602
229,245,346,0,599
230,245,345,0,599
233,243,380,0,598
233,245,366,0,601
229,242,395,0,601
233,242,352,0,598
230,229,351,0,600
230,236,370,0,604
232,235,351,0,603
234,239,367,0,605
234,242,354,0,605
234,241,347,0,602
233,236,344,0,603
234,237,448,0,603
230,237,345,0,603
233,240,347,0,599
231,238,345,0,601
233,235,346,0,597
234,231,363,0,597
231,233,345,0,597
234,233,345,0,595
232,230,351,0,597
235,231,344,0,577
233,231,344,0,596
233,235,350,0,593
230,232,363,0,597
230,230,345,0,596
233,218,344,0,599
233,213,347,0,593
233,216,347,0,596
233,227,344,0,600
234,217,346,0,596
234,219,364,0,598
232,218,352,0,600
231,220,372,0,598
234,222,347,0,601
234,216,348,0,596
235,206,342,0,598
232,205,411,0,597
231,210,344,0,600
232,215,374,0,596
234,211,343,0,598
232,212,352,0,594
231,209,345,0,595
233,193,364,0,593
230,197,389,0,598
233,228,384,0,593
233,234,344,0,594
232,226,353,0,598
229,220,346,0,599
230,217,346,0,597
231,214,340,0,601
231,211,466,0,597
231,214,345,0,601
233,207,510,0,599
232,199,346,0,594
232,195,353,0,595
230,198,344,0,600
232,199,385,0,596
233,199,352,0,595
232,199,346,0,601
233,184,356,0,604
231,183,440,0,600
230,211,535,0,604
233,215,363,0,601
231,213,374,0,599
233,209,360,0,599
232,212,392,0,596
232,210,350,0,596
231,220,345,0,598
229,221,351,0,602
233,215,360,0,595
