temp,light,sound,pressure,humidity
231,92,344,0,517
229,90,338,0,515
232,97,348,0,512
232,99,345,0,520
230,97,340,0,517
231,89,345,0,516
232,86,342,0,517
229,86,343,0,515
231,91,338,0,514
231,99,338,0,516
229,86,344,0,518
230,91,344,0,523
230,91,345,0,517
230,98,340,0,519
229,98,338,0,518
229,97,342,0,518
228,85,373,0,512
229,97,347,0,516
231,97,343,0,523
228,92,337,0,517
230,97,336,0,523
229,85,338,0,520
228,89,344,0,518
229,87,341,0,518
232,86,339,0,517
231,93,352,0,520
230,94,340,0,518
232,97,346,0,519
232,86,340,0,515
231,91,341,0,519
229,94,342,0,513
232,93,340,0,519
231,90,339,0,516
231,97,339,0,513
230,90,344,0,516
229,90,340,0,513
228,91,342,0,516
232,96,344,0,513
229,85,337,0,512
229,85,342,0,513
231,93,339,0,516
231,86,345,0,517
229,97,341,0,515
229,95,340,0,514
231,87,337,0,512
228,96,346,0,511
232,88,342,0,518
231,86,345,0,515
228,95,344,0,519
227,96,340,0,513
231,95,372,0,515
231,97,341,0,521
231,93,343,0,517
228,94,339,0,517
232,90,341,0,519
228,98,335,0,517
229,89,358,0,521
229,99,336,0,525
231,99,335,0,521
229,90,336,0,527
227,88,364,0,514
230,94,357,0,519
231,100,333,0,52
228,89,332,0,515
229,92,334,0,518
228,101,343,0,51
230,100,336,0,516
228,92,331,0,521
228,87,333,0,514
230,94,339,0,512
228,88,334,0,524
229,93,334,0,512
227,90,344,0,508
228,98,341,0,511
231,98,338,0,512
230,87,334,0,512
231,99,369,0,513
228,99,348,0,513
230,89,369,0,512
230,92,337,0,513
231,88,335,0,513
230,91,339,0,515
228,87,330,0,511
231,86,332,0,511
229,94,331,0,513
229,90,338,0,511
227,91,333,0,508
229,87,332,0,511
229,99,332,0,511
228,98,342,0,507
231,89,335,0,510
231,99,339,0,510
229,87,331,0,508
230,98,341,0,509
228,98,337,0,511
229,86,334,0,511
231,89,374,0,518
231,99,335,0,517
231,98,337,0,518
230,89,333,0,519
228,90,346,0,517
231,96,357,0,522
231,89,360,0,518
229,99,365,0,518
232,99,335,0,517
231,98,333,0,518
231,98,337,0,520
232,94,332,0,522
229,99,335,0,520
231,100,332,0,51
232,88,333,0,519
228,99,335,0,521
229,89,338,0,518
232,97,335,0,516
228,92,336,0,515
232,88,333,0,514
228,92,341,0,516
231,92,331,0,519
228,89,338,0,515
228,87,333,0,518
229,96,330,0,518
231,88,333,0,513
