temp,light,sound,pressure,humidity
247,0,417,0,847
247,0,418,0,850
248,0,421,0,848
248,0,422,0,845
248,0,416,0,847
248,0,410,0,846
248,0,411,0,844
248,0,416,0,847
248,0,404,0,844
247,0,416,0,840
247,0,413,0,842
247,0,425,0,842
248,0,414,0,842
251,225,421,0,690
252,227,422,0,692
251,233,416,0,687
253,225,423,0,681
253,232,424,0,683
254,231,429,0,683
254,234,433,0,679
253,228,422,0,676
254,233,421,0,672
254,230,426,0,669
254,232,416,0,664
255,235,412,0,659
256,225,415,0,654
257,227,421,0,650
256,228,423,0,650
257,234,428,0,649
257,234,414,0,652
257,231,425,0,645
258,227,444,0,640
259,226,436,0,646
258,234,423,0,628
259,234,436,0,632
259,229,425,0,631
260,225,425,0,626
260,234,417,0,627
260,232,420,0,625
260,233,417,0,624
260,232,416,0,625
260,230,417,0,621
261,226,421,0,616
261,229,423,0,617
260,230,433,0,615
261,234,426,0,616
262,235,424,0,610
261,233,422,0,609
261,231,412,0,610
262,234,419,0,608
261,231,420,0,604
262,235,418,0,608
261,235,424,0,607
262,231,419,0,605
262,230,430,0,604
262,236,432,0,600
262,240,431,0,598
262,239,436,0,600
262,237,427,0,597
262,239,428,0,596
262,234,438,0,594
263,234,433,0,595
263,237,433,0,594
263,239,429,0,594
262,236,434,0,591
263,233,427,0,592
263,237,431,0,585
263,237,426,0,585
263,237,430,0,589
263,232,419,0,591
263,229,418,0,590
262,227,427,0,592
264,228,429,0,594
263,235,423,0,591
263,234,426,0,594
263,231,417,0,592
264,228,425,0,592
263,237,428,0,599
263,233,424,0,600
263,230,413,0,601
262,231,420,0,606
264,235,432,0,604
263,230,433,0,608
263,237,435,0,605
263,228,437,0,610
263,237,423,0,606
263,238,426,0,609
264,235,426,0,608
263,235,423,0,602
264,228,432,0,607
263,238,418,0,603
264,238,418,0,605
264,236,425,0,607
264,230,422,0,605
264,238,427,0,608
263,230,428,0,605
264,238,426,0,604
263,235,425,0,604
264,232,427,0,605
264,239,428,0,607
264,238,436,0,610
264,239,433,0,607
264,238,433,0,617
265,236,427,0,612
265,239,430,0,614
265,233,426,0,613
264,237,436,0,610
265,236,419,0,616
264,239,419,0,617
264,239,422,0,612
264,237,440,0,613
264,234,425,0,611
264,239,427,0,613
265,233,429,0,612
264,232,427,0,614
265,229,425,0,609
264,231,415,0,616
265,229,435,0,613
264,237,425,0,619
265,236,415,0,607
265,233,429,0,608
264,233,425,0,616
265,237,420,0,615
265,237,442,0,616
265,235,428,0,614
265,233,416,0,619
264,237,422,0,616
265,233,416,0,620
265,236,423,0,616
265,238,419,0,613
264,234,425,0,619
265,229,416,0,622
264,240,437,0,615
265,239,422,0,620
265,233,442,0,622
264,232,429,0,622
265,231,432,0,624
265,231,439,0,621
265,239,432,0,622
264,234,437,0,620
265,239,437,0,594
264,233,425,0,618
265,238,425,0,619
257,184,391,0,727
257,185,513,0,727
257,185,392,0,727
257,185,390,0,725
257,185,388,0,730
257,185,490,0,727
258,257,390,0,728
259,258,401,0,726
258,258,390,0,729
259,258,392,0,726
259,258,398,0,723
259,309,523,0,726
258,323,475,0,732
258,330,497,0,728
259,354,479,0,728
258,361,578,0,728
259,366,587,0,727
259,373,589,0,724
259,377,620,0,720
258,372,585,0,724
258,379,587,0,725
260,376,569,0,726
259,383,582,0,727
259,376,603,0,727
258,381,625,0,749
258,375,596,0,755
259,384,567,0,760
259,377,587,0,783
258,383,602,0,793
259,385,548,0,800
258,383,599,0,813
258,381,537,0,824
258,381,527,0,820
258,378,543,0,831
258,372,532,0,833
258,369,528,0,819
258,373,480,0,836
259,375,495,0,827
258,371,530,0,834
259,369,534,0,826
260,368,582,0,821
259,373,536,0,834
259,373,498,0,836
259,364,496,0,827
260,360,510,0,835
260,360,493,0,828
260,367,548,0,819
260,369,512,0,820
260,362,541,0,818
261,361,549,0,824
261,358,500,0,828
261,352,484,0,831
260,365,472,0,853
260,386,441,0,917
261,363,429,0,831
259,266,390,0,825
259,263,395,0,828
260,258,392,0,828
259,255,391,0,821
260,254,388,0,870
259,257,388,0,817
259,247,387,0,820
260,237,389,0,818
259,237,391,0,825
260,242,389,0,819
259,241,392,0,820
259,242,390,0,822
260,236,396,0,823
259,225,393,0,820
260,225,392,0,823
259,258,551,0,828
260,257,412,0,827
258,257,414,0,813
260,251,555,0,813
260,258,399,0,821
258,256,409,0,825
259,265,393,0,824
259,267,453,0,821
259,263,391,0,822
260,266,396,0,819
260,264,396,0,820
260,270,389,0,816
259,279,398,0,818
259,281,398,0,812
259,285,393,0,813
260,286,392,0,806
260,288,392,0,809
259,288,413,0,811
260,287,400,0,807
260,287,403,0,801
259,287,395,0,796
260,287,393,0,791
259,288,394,0,798
260,288,398,0,800
260,289,399,0,770
261,288,403,0,798
260,289,403,0,804
260,288,401,0,797
260,287,489,0,797
260,287,399,0,793
260,283,395,0,798
260,288,414,0,798
260,289,396,0,796
260,288,470,0,802
260,289,403,0,798
260,288,397,0,800
261,282,394,0,799
261,284,399,0,805
260,285,419,0,806
259,286,411,0,811
261,282,393,0,809
261,284,401,0,810
261,284,395,0,812
261,286,403,0,815
260,285,399,0,816
259,284,396,0,816
260,284,396,0,807
260,283,397,0,821
261,283,434,0,801
260,284,389,0,803
261,284,397,0,799
260,283,403,0,803
261,280,393,0,801
260,282,395,0,798
261,279,399,0,795
260,274,406,0,770
260,275,397,0,792
260,278,401,0,792
260,277,390,0,790
260,278,672,0,789
260,267,595,0,802
260,257,483,0,796
260,244,562,0,795
259,243,420,0,788
260,245,412,0,791
259,228,404,0,791
260,233,397,0,789
260,233,431,0,790
261,229,393,0,786
259,242,390,0,780
260,245,390,0,780
259,244,399,0,780
259,257,393,0,779
260,269,390,0,775
260,267,391,0,775
259,278,398,0,777
260,280,418,0,775
259,280,390,0,779
260,274,387,0,779
259,274,392,0,781
259,264,402,0,778
259,255,399,0,778
260,258,402,0,772
260,251,391,0,776
260,259,395,0,778
261,262,388,0,783
260,274,390,0,782
260,279,392,0,720
260,276,388,0,780
260,277,387,0,784
259,277,392,0,782
261,284,389,0,749
260,280,503,0,776
260,279,387,0,771
260,285,388,0,774
261,284,388,0,776
260,284,413,0,780
260,286,388,0,781
260,288,397,0,781
261,287,391,0,775
260,288,423,0,778
261,288,389,0,776
260,288,386,0,774
260,288,393,0,793
261,288,396,0,789
