temp,light,sound,pressure,humidity
233,143,361,0,571
234,143,361,0,579
232,143,363,0,573
233,143,363,0,555
233,143,357,0,553
235,143,356,0,557
233,144,360,0,561
233,143,353,0,568
233,143,352,0,555
233,144,354,0,565
233,143,366,0,569
235,143,365,0,571
233,144,357,0,561
235,143,355,0,552
235,143,352,0,553
234,143,363,0,555
234,143,362,0,561
234,143,355,0,554
233,143,359,0,552
236,143,362,0,544
233,143,354,0,550
234,143,358,0,558
235,143,357,0,553
234,143,359,0,558
235,142,356,0,556
234,143,368,0,537
233,144,361,0,543
235,143,361,0,553
236,143,362,0,553
236,143,354,0,562
236,143,358,0,538
236,143,357,0,551
234,143,358,0,554
234,143,360,0,559
233,143,356,0,572
236,143,355,0,570
234,143,368,0,563
235,143,355,0,561
236,143,359,0,557
234,143,364,0,552
233,143,356,0,547
234,143,359,0,540
234,143,359,0,552
234,143,356,0,552
235,143,361,0,557
235,143,350,0,552
235,143,355,0,547
236,143,354,0,541
235,143,358,0,539
236,143,359,0,544
236,143,374,0,556
233,144,340,0,573
233,144,363,0,545
236,144,340,0,551
234,143,338,0,539
234,143,340,0,534
234,143,341,0,531
236,143,378,0,535
233,143,338,0,536
235,143,345,0,556
236,144,339,0,553
234,143,338,0,561
236,144,339,0,554
234,144,337,0,564
234,144,340,0,544
234,143,338,0,546
237,143,340,0,554
236,143,337,0,560
233,143,419,0,553
234,143,343,0,541
234,144,497,0,538
235,143,348,0,548
233,143,337,0,550
236,143,335,0,554
235,144,342,0,552
236,139,339,0,543
235,140,356,0,535
233,139,514,0,534
233,136,353,0,537
236,128,494,0,543
233,86,338,0,521
235,94,393,0,536
232,141,370,0,53
234,141,343,0,557
232,141,338,0,544
234,131,405,0,530
231,134,425,0,528
231,135,425,0,530
231,133,491,0,520
234,133,553,0,521
234,132,480,0,523
231,136,338,0,519
233,134,338,0,520
232,120,365,0,534
233,0,363,0,539
232,0,340,0,532
233,0,337,0,529
233,0,345,0,529
233,0,350,0,540
234,0,336,0,546
233,0,339,0,563
232,0,338,0,551
235,0,376,0,537
232,0,337,0,536
233,0,339,0,566
233,0,338,0,565
233,0,341,0,551
233,0,351,0,540
232,0,345,0,540
236,0,361,0,549
234,0,343,0,542
235,0,342,0,551
236,0,342,0,550
233,0,338,0,547
235,0,336,0,544
234,0,338,0,539
236,0,362,0,546
235,0,343,0,546
235,0,341,0,551
234,0,359,0,553
233,0,339,0,565
236,0,340,0,563
235,0,347,0,556
236,0,339,0,560
235,0,337,0,551
235,0,340,0,576
234,0,337,0,571
233,0,339,0,564
236,0,337,0,567
234,0,340,0,548
236,0,339,0,552
236,0,338,0,562
236,0,335,0,590
236,0,341,0,602
236,0,348,0,580
235,0,341,0,567
233,0,339,0,586
233,0,364,0,575
233,0,341,0,570
234,0,349,0,568
234,0,338,0,558
235,0,344,0,547
233,0,345,0,559
226,100,341,0,6
227,100,341,0,668
228,100,340,0,667
228,96,346,0,667
226,64,367,0,665
229,119,338,0,655
226,120,341,0,656
228,120,341,0,659
227,119,364,0,659
227,119,345,0,661
229,115,341,0,660
226,117,344,0,659
228,114,342,0,656
227,116,340,0,653
229,115,344,0,656
229,118,344,0,679
229,119,339,0,659
229,119,346,0,657
229,116,342,0,657
228,117,339,0,656
227,118,341,0,657
226,119,341,0,655
229,116,368,0,659
229,116,339,0,657
229,115,342,0,658
227,115,341,0,654
226,116,339,0,657
229,115,341,0,654
227,115,340,0,653
228,115,342,0,655
227,116,343,0,655
227,116,344,0,656
229,112,343,0,655
229,105,337,0,658
227,109,337,0,653
228,110,341,0,651
229,113,360,0,651
229,107,349,0,650
227,111,339,0,651
228,110,340,0,655
227,110,339,0,657
229,110,342,0,655
229,105,339,0,655
229,102,341,0,653
228,104,342,0,655
227,108,345,0,653
228,106,340,0,653
229,107,339,0,652
229,106,338,0,659
229,103,357,0,654



227,116,340,0,652
227,115,339,0,652
229,112,336,0,652
228,111,343,0,648
230,112,340,0,648
227,112,339,0,647
230,107,338,0,650
230,102,339,0,650
227,103,339,0,649
228,105,342,0,654
228,105,350,0,654
228,107,339,0,651
227,102,340,0,650
229,99,341,0,646
227,104,372,0,64
230,113,341,0,650
227,112,340,0,646
229,113,339,0,644
228,110,342,0,646
227,113,339,0,645
230,114,340,0,646
227,117,338,0,648
228,117,337,0,644
227,116,339,0,642
230,116,336,0,644
228,116,338,0,647
230,120,341,0,648
228,121,341,0,650
230,123,341,0,645
228,125,344,0,640
227,125,344,0,640
230,126,338,0,641
228,126,347,0,644
227,125,339,0,646
227,125,360,0,646
227,125,343,0,641
230,125,341,0,642
227,125,339,0,647
228,125,352,0,644
230,126,348,0,641
230,125,343,0,644
229,125,346,0,643
228,124,342,0,645
227,124,338,0,643
227,124,365,0,647
230,122,338,0,645
230,124,344,0,641
227,124,341,0,644
230,123,337,0,641
228,124,340,0,641
228,123,343,0,640
227,120,346,0,642
229,121,338,0,645
230,121,338,0,643
229,122,342,0,639
230,120,340,0,639
228,120,340,0,644
227,121,340,0,643
228,121,343,0,642
230,119,345,0,645
228,120,337,0,644
230,119,339,0,644
227,119,345,0,640
228,119,338,0,641
228,119,342,0,641
230,119,336,0,643
227,118,352,0,645
229,117,345,0,643
228,119,339,0,640
229,116,352,0,640
230,114,344,0,639
230,113,341,0,642
228,115,339,0,641
228,115,365,0,638
230,113,341,0,643
227,108,341,0,637
228,102,348,0,639
227,98,353,0,638
227,101,356,0,63
230,99,339,0,639
230,94,342,0,640
230,95,352,0,644
229,95,340,0,639
229,95,341,0,639
228,99,341,0,637
230,99,338,0,640
228,102,338,0,64
230,106,342,0,636
228,111,339,0,637
228,112,340,0,640
228,115,341,0,639
227,116,340,0,636
